Ascent Label,Ascent ID,Ascent Link,Ascent Type,Ascent Grade,# Ascents,Route Stars,Route Height,Route Name,Route Grade,Route ID,Route Link,Country,Country Link,Crag Name,Crag Link,Crag Path,With,Comment,Quality,Ascent Date,Log Date,Shot,Trip Name,Trip ID,Trip Link
Golden Fleece,3031456830,http://www.thecrag.com/ascent/3031456830,Onsight,18,1,**,35m,Golden Fleece,18,12883675,http://www.thecrag.com/route/12883675,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Left - Golden Fleece Wall,,,,2020-01-16T00:00:00Z,2020-01-16T09:40:46Z,,,,
Coming on Chris,3029441961,http://www.thecrag.com/ascent/3029441961,Onsight,16,1,**,25m,Coming on Chris,16,12919141,http://www.thecrag.com/route/12919141,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Pharos and Surrounds - The Pharos - Uncle Charlie,,,,2020-01-15T00:00:00Z,2020-01-15T10:06:45Z,,,,
Subliminal Cut,3028869498,http://www.thecrag.com/ascent/3028869498,Flash,18,1,*,18m,Subliminal Cut,18,12895177,http://www.thecrag.com/route/12895177,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Right - Preludes Wall,,,,2020-01-15T00:00:00Z,2020-01-15T05:55:34Z,,,,
Rosy Shy,3028869513,http://www.thecrag.com/ascent/3028869513,Red point,19,1,*,35m,Rosy Shy,19,12895531,http://www.thecrag.com/route/12895531,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Right - Preludes Wall,,,,2020-01-15T00:00:00Z,2020-01-15T05:55:34Z,,,,
Preludes,3028869528,http://www.thecrag.com/ascent/3028869528,Onsight,17,1,**,35m,Preludes,17,12895939,http://www.thecrag.com/route/12895939,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Right - Preludes Wall,,,,2020-01-15T00:00:00Z,2020-01-15T05:55:34Z,,,,
Daily Planet,3027428595,http://www.thecrag.com/ascent/3027428595,Onsight,18,1,**,20m,Daily Planet,18,12871483,http://www.thecrag.com/route/12871483,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Pilot Error Cliffs - Pilot Error Area,,,,2020-01-14T00:00:00Z,2020-01-14T12:48:59Z,,,,
Pilot Error,3027428565,http://www.thecrag.com/ascent/3027428565,Flash,20,1,**,12m,Pilot Error,20,12870823,http://www.thecrag.com/route/12870823,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Pilot Error Cliffs - Pilot Error Area,,,,2020-01-14T00:00:00Z,2020-01-14T12:48:58Z,,,,
Mesa,3027428580,http://www.thecrag.com/ascent/3027428580,Second clean,10,1,**,33m,Mesa,10,12871243,http://www.thecrag.com/route/12871243,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Pilot Error Cliffs - Pilot Error Area,,,,2020-01-14T00:00:00Z,2020-01-14T12:48:58Z,,,,
Trapeze,3025236036,http://www.thecrag.com/ascent/3025236036,Second clean,11,1,**,20m,Trapeze,11,11968183,http://www.thecrag.com/route/11968183,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Castle Crag,,,,2020-01-13T00:00:00Z,2020-01-13T04:14:31Z,,,,
Swinging,3025236051,http://www.thecrag.com/ascent/3025236051,Onsight,17,1,**,20m,Swinging,17,11968255,http://www.thecrag.com/route/11968255,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Castle Crag,,,,2020-01-13T00:00:00Z,2020-01-13T04:14:31Z,,,,
The Venus Trap,3025233534,http://www.thecrag.com/ascent/3025233534,Onsight,15,1,*,15m,The Venus Trap,15,12924067,http://www.thecrag.com/route/12924067,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Pharos and Surrounds - Pharos Gully - Vanoise Area,,,,2020-01-13T00:00:00Z,2020-01-13T04:12:50Z,,,,
Cranky Babies,3025233549,http://www.thecrag.com/ascent/3025233549,Onsight,20,1,*,12m,Cranky Babies,20,12924133,http://www.thecrag.com/route/12924133,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Pharos and Surrounds - Pharos Gully - Vanoise Area,,,,2020-01-13T00:00:00Z,2020-01-13T04:12:50Z,,,,
Beautiful Possibilities,3023757186,http://www.thecrag.com/ascent/3023757186,Second clean,15,1,**,30m,Beautiful Possibilities,15,12883387,http://www.thecrag.com/route/12883387,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Left - Golden Fleece Wall,,,,2020-01-12T00:00:00Z,2020-01-12T09:06:38Z,,,,
Jason,3023757201,http://www.thecrag.com/ascent/3023757201,Onsight,16,1,*,30m,Jason,16,12883477,http://www.thecrag.com/route/12883477,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Left - Golden Fleece Wall,,,,2020-01-12T00:00:00Z,2020-01-12T09:06:38Z,,,,
Kaiser - Resignation,3023215578,http://www.thecrag.com/ascent/3023215578,Onsight,15,1,***,99m,Kaiser - Resignation,15,12909199,http://www.thecrag.com/route/12909199,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Tiger Wall Area - Tiger Wall - Under Flinders Lane Wall,,,,2020-01-12T00:00:00Z,2020-01-12T05:12:22Z,,,,
Horn Piece,3021996600,http://www.thecrag.com/ascent/3021996600,Onsight,13,1,**,33m,Horn Piece,13,12880297,http://www.thecrag.com/route/12880297,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Organ Pipes Area - Organ Pipes - Didgeridoo Pipe,,,,2020-01-11T00:00:00Z,2020-01-11T10:04:10Z,,,,
Piccolo,3021993957,http://www.thecrag.com/ascent/3021993957,Second clean,11,1,**,33m,Piccolo,11,12879073,http://www.thecrag.com/route/12879073,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Organ Pipes Area - Organ Pipes - Piccolo Pipe,,,,2020-01-11T00:00:00Z,2020-01-11T10:01:48Z,,,,
Tremulo,3021990858,http://www.thecrag.com/ascent/3021990858,Second clean,14,1,**,25m,Tremulo,14,12881317,http://www.thecrag.com/route/12881317,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Organ Pipes Area - Organ Pipes - Toccata Wall,,,,2020-01-11T00:00:00Z,2020-01-11T10:00:46Z,,,,
Mantis,3021988113,http://www.thecrag.com/ascent/3021988113,Second clean,14,1,**,33m,Mantis,14,11965051,http://www.thecrag.com/route/11965051,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Fang Buttress and Surrounds - Fang Buttress,,,,2020-01-11T00:00:00Z,2020-01-11T09:56:46Z,,,,
Dunes,3021986232,http://www.thecrag.com/ascent/3021986232,Onsight,12,1,**,120m,Dunes,12,12899665,http://www.thecrag.com/route/12899665,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Right - Dunes Buttress,,,,2020-01-11T00:00:00Z,2020-01-11T09:55:24Z,,,,
Strife on the Gravy Train,3021983775,http://www.thecrag.com/ascent/3021983775,Onsight,14,1,**,25m,Strife on the Gravy Train,14,12886297,http://www.thecrag.com/route/12886297,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Central Gully - Central Gully Left - Wailing Wall,,,,2020-01-11T00:00:00Z,2020-01-11T09:50:57Z,,,,
Agamemnon,3021981882,http://www.thecrag.com/ascent/3021981882,Second clean,11,2,***,40m,Agamemnon,11,12874945,http://www.thecrag.com/route/12874945,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Atridae - Agamemnon Area,,,,2020-01-11T00:00:00Z,2020-01-11T09:48:07Z,,,,
Muldoon,3021980874,http://www.thecrag.com/ascent/3021980874,Red point,13,1,***,42m,Muldoon,13,12873883,http://www.thecrag.com/route/12873883,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - Atridae - Muldoon Area,,,,2020-01-11T00:00:00Z,2020-01-11T09:44:38Z,,,,
Bites in the Pie,3021974610,http://www.thecrag.com/ascent/3021974610,Onsight,12,1,*,10m,Bites in the Pie,12,12924367,http://www.thecrag.com/route/12924367,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Pharos and Surrounds - Pharos Gully - Vanoise Area,,,,2020-01-11T00:00:00Z,2020-01-11T09:41:23Z,,,,
Agent Orange,3021974625,http://www.thecrag.com/ascent/3021974625,Onsight,15,1,**,25m,Agent Orange,15,12924979,http://www.thecrag.com/route/12924979,Australia,http://www.thecrag.com/area/11737699,Arapiles,http://www.thecrag.com/area/11740915,Arapiles - The Pharos and Surrounds - Pharos Gully - Vanoise Area,,,,2020-01-11T00:00:00Z,2020-01-11T09:41:23Z,,,,
Golgotha,2970302727,http://www.thecrag.com/ascent/2970302727,Onsight,16,1,*,15m,Golgotha,16,13533769,http://www.thecrag.com/route/13533769,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Far Crag,,,,2019-12-15T00:00:00Z,2019-12-15T10:23:22Z,,,,
Shedidit,2970302742,http://www.thecrag.com/ascent/2970302742,Tick,15,1,**,13m,Shedidit,15,13534645,http://www.thecrag.com/route/13534645,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Far Crag,,,,2019-12-15T00:00:00Z,2019-12-15T10:23:22Z,,,,
Lust,2919653028,http://www.thecrag.com/ascent/2919653028,Pink point,26,1,***,20m,Lust,26,13570399,http://www.thecrag.com/route/13570399,Australia,http://www.thecrag.com/area/11737699,Onkaparinga,http://www.thecrag.com/area/11833459,Onkaparinga - Red Cliff,,Chugga Chugga,Classic,2019-11-21T00:00:00Z,2019-11-21T04:20:41Z,,,,
Eddie Misses the Point,2860393488,http://www.thecrag.com/ascent/2860393488,Pink point,25,4,**,15m,Eddie Misses the Point,25,13556095,http://www.thecrag.com/route/13556095,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2019-10-28T00:00:00Z,2019-10-28T10:31:24Z,,,,
Trundle Down Rundle,2856272244,http://www.thecrag.com/ascent/2856272244,Hang dog,25,1,***,20m,Trundle Down Rundle,25,13554385,http://www.thecrag.com/route/13554385,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2019-10-27T00:00:00Z,2019-10-27T10:19:17Z,,,,
Eddie Misses the Point,2856272259,http://www.thecrag.com/ascent/2856272259,Hang dog,25,4,**,15m,Eddie Misses the Point,25,13556095,http://www.thecrag.com/route/13556095,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2019-10-27T00:00:00Z,2019-10-27T10:19:17Z,,,,
Space to Rent,2847404535,http://www.thecrag.com/ascent/2847404535,Pink point,24,2,**,,Space to Rent,24,13554613,http://www.thecrag.com/route/13554613,Australia,http://www.thecrag.com/area/11737699,Norton Summit,http://www.thecrag.com/area/11833435,Norton Summit - The Cave,,,,2019-10-24T00:00:00Z,2019-10-24T12:01:59Z,,,,
Surfactant,2833008342,http://www.thecrag.com/ascent/2833008342,Onsight,16,1,*,15m,Surfactant,16,827183916,http://www.thecrag.com/route/827183916,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - The Lost Walls,Tom Mansfield,,,2019-10-20T00:00:00Z,2019-10-20T06:45:48Z,,,,
Japetus Direct Finish,2833007004,http://www.thecrag.com/ascent/2833007004,Red point,23,3,**,,Japetus Direct Finish,23,13529407,http://www.thecrag.com/route/13529407,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,Very Good,2019-10-20T00:00:00Z,2019-10-20T06:43:35Z,,,,
The Stench Before the Storm,2833007019,http://www.thecrag.com/ascent/2833007019,Pink point,25,4,***,19m,The Stench Before the Storm,25,13529719,http://www.thecrag.com/route/13529719,Australia,http://www.thecrag.com/area/11737699,Morialta,http://www.thecrag.com/area/11833411,Morialta - Thorn Buttress,,,,2019-10-20T00:00:00Z,2019-10-20T06:43:35Z,,,,
Weekend Warriors,2788406868,http://www.thecrag.com/ascent/2788406868,Onsight,5.10b,1,*,24m,Weekend Warriors,5.10b,13977997,http://www.thecrag.com/route/13977997,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Chicken Cave,,,,2019-10-04T00:00:00Z,2019-10-04T08:13:45Z,,,,
Clean Jean,2788406883,http://www.thecrag.com/ascent/2788406883,Onsight,5.10c,1,*,18m,Clean Jean,5.10c,13978303,http://www.thecrag.com/route/13978303,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Chicken Cave,,,,2019-10-04T00:00:00Z,2019-10-04T08:13:45Z,,,,
Team Sweden,2788406898,http://www.thecrag.com/ascent/2788406898,Onsight,5.10a,1,*,17m,Team Sweden,5.10a,13978369,http://www.thecrag.com/route/13978369,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Chicken Cave,,,,2019-10-04T00:00:00Z,2019-10-04T08:13:45Z,,,,
Turd Burglar,2788406913,http://www.thecrag.com/ascent/2788406913,Onsight,5.9,1,*,16m,Turd Burglar,5.9,24597885,http://www.thecrag.com/route/24597885,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Chicken Cave,,,,2019-10-04T00:00:00Z,2019-10-04T08:13:45Z,,,,
Tufa Rufa,2788406928,http://www.thecrag.com/ascent/2788406928,Onsight,5.10c,1,**,17m,Tufa Rufa,5.10c,24597993,http://www.thecrag.com/route/24597993,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Chicken Cave,,,,2019-10-04T00:00:00Z,2019-10-04T08:13:45Z,,,,
Jugtastic,2788406943,http://www.thecrag.com/ascent/2788406943,Flash,5.10d,1,**,15m,Jugtastic,5.10d,24598101,http://www.thecrag.com/route/24598101,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Chicken Cave,,,,2019-10-04T00:00:00Z,2019-10-04T08:13:45Z,,,,
Philly Cheese Steak,2785275657,http://www.thecrag.com/ascent/2785275657,Onsight,5.9,1,**,25m,Philly Cheese Steak,5.9,11358714,http://www.thecrag.com/route/11358714,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Swiss Cheese Wall - Right Hand Side Wall,,,,2019-10-03T00:00:00Z,2019-10-03T05:41:39Z,,,,
The Traveling Alon,2785272066,http://www.thecrag.com/ascent/2785272066,Hang dog,5.11a,2,***,32m,The Traveling Alon,5.11a,157434252,http://www.thecrag.com/route/157434252,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Swiss Cheese Wall - Left Hand Side Wall,,,,2019-10-03T00:00:00Z,2019-10-03T05:39:01Z,,,,
The Traveling Alon,2785272081,http://www.thecrag.com/ascent/2785272081,Pink point,5.11a,2,***,32m,The Traveling Alon,5.11a,157434252,http://www.thecrag.com/route/157434252,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Swiss Cheese Wall - Left Hand Side Wall,,,,2019-10-03T00:00:00Z,2019-10-03T05:39:01Z,,,,
Little Homie,2785272036,http://www.thecrag.com/ascent/2785272036,Hang dog,5.11c,2,**,24m,Little Homie,5.11c,157431222,http://www.thecrag.com/route/157431222,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Swiss Cheese Wall - Left Hand Side Wall,,,,2019-10-03T00:00:00Z,2019-10-03T05:39:01Z,,,,
Little Homie,2785272051,http://www.thecrag.com/ascent/2785272051,Pink point,5.11c,2,**,24m,Little Homie,5.11c,157431222,http://www.thecrag.com/route/157431222,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Swiss Cheese Wall - Left Hand Side Wall,,,,2019-10-03T00:00:00Z,2019-10-03T05:39:01Z,,,,
Surprise Attack,2783577468,http://www.thecrag.com/ascent/2783577468,Hang dog,5.11c,1,*,17m,Surprise Attack,5.11c,1511917554,http://www.thecrag.com/route/1511917554,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,,2019-10-02T00:00:00Z,2019-10-02T08:41:34Z,,,,
Tunnel Vision,2783577483,http://www.thecrag.com/ascent/2783577483,Hang dog,5.11c,2,**,25m,Tunnel Vision,5.11c,13973629,http://www.thecrag.com/route/13973629,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,,2019-10-02T00:00:00Z,2019-10-02T08:41:34Z,,,,
Tunnel Vision,2783577498,http://www.thecrag.com/ascent/2783577498,Pink point,5.11c,2,**,25m,Tunnel Vision,5.11c,13973629,http://www.thecrag.com/route/13973629,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,,2019-10-02T00:00:00Z,2019-10-02T08:41:34Z,,,,
Singularity 奇异,2781131763,http://www.thecrag.com/ascent/2781131763,Ghost,5.12b,1,***,26m,Singularity 奇异,5.12b,13980373,http://www.thecrag.com/route/13980373,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-10-01T00:00:00Z,2019-10-01T08:57:08Z,,,,
Ball and Chain,2781128013,http://www.thecrag.com/ascent/2781128013,Hang dog,5.12a,2,**,28m,Ball and Chain,5.12a,1904173380,http://www.thecrag.com/route/1904173380,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,,Very Good,2019-10-01T00:00:00Z,2019-10-01T08:54:36Z,,,,
Ball and Chain,2781128031,http://www.thecrag.com/ascent/2781128031,Pink point,5.12a,2,**,28m,Ball and Chain,5.12a,1904173380,http://www.thecrag.com/route/1904173380,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Square Mountain - Treasure Cave,,2nd go,Very Good,2019-10-01T00:00:00Z,2019-10-01T08:54:36Z,,,,
Blood,2774676504,http://www.thecrag.com/ascent/2774676504,Pink point,5.10d,1,**,20m,Blood,5.10d,13972279,http://www.thecrag.com/route/13972279,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Twin Gates - East Wall,,,,2019-09-29T00:00:00Z,2019-09-29T11:04:26Z,,,,
Blood pitch 2,2774676519,http://www.thecrag.com/ascent/2774676519,Pink point,5.11a,1,**,7m,Blood pitch 2,5.11a,13970599,http://www.thecrag.com/route/13970599,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Twin Gates - East Wall,,,,2019-09-29T00:00:00Z,2019-09-29T11:04:26Z,,,,
Xin Jiang Black,2774676534,http://www.thecrag.com/ascent/2774676534,Onsight,5.10c,1,**,45m,Xin Jiang Black,5.10c,10148325,http://www.thecrag.com/route/10148325,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Twin Gates - East Wall,,1:,,2019-09-29T00:00:00Z,2019-09-29T11:04:26Z,,,,
Slack,2773511895,http://www.thecrag.com/ascent/2773511895,Onsight,5.10b,1,**,25m,Slack,5.10b,13969027,http://www.thecrag.com/route/13969027,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Wine Bottle,,,,2019-09-29T00:00:00Z,2019-09-29T01:21:28Z,,,,
Opica,2773511910,http://www.thecrag.com/ascent/2773511910,Onsight,5.10c,1,**,20m,Opica,5.10c,13968919,http://www.thecrag.com/route/13968919,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Wine Bottle,,,,2019-09-29T00:00:00Z,2019-09-29T01:21:28Z,,,,
Miracle of Lankou,2773511925,http://www.thecrag.com/ascent/2773511925,Onsight,5.10a,1,**,25m,Miracle of Lankou,5.10a,13968871,http://www.thecrag.com/route/13968871,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Wine Bottle,,,,2019-09-29T00:00:00Z,2019-09-29T01:21:28Z,,,,
The Power Of One 单体的力量,2772358047,http://www.thecrag.com/ascent/2772358047,Hang dog,5.12a,4,**,25m,The Power Of One 单体的力量,5.12a,81753591,http://www.thecrag.com/route/81753591,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-28T00:00:00Z,2019-09-28T08:41:04Z,,,,
The Power Of One 单体的力量,2772358062,http://www.thecrag.com/ascent/2772358062,Hang dog,5.12a,4,**,25m,The Power Of One 单体的力量,5.12a,81753591,http://www.thecrag.com/route/81753591,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-28T00:00:00Z,2019-09-28T08:41:04Z,,,,
The Power Of One 单体的力量,2772358077,http://www.thecrag.com/ascent/2772358077,Hang dog,5.12a,4,**,25m,The Power Of One 单体的力量,5.12a,81753591,http://www.thecrag.com/route/81753591,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-28T00:00:00Z,2019-09-28T08:41:04Z,,,,
The Power Of One 单体的力量,2772358092,http://www.thecrag.com/ascent/2772358092,Pink point,5.12a,4,**,25m,The Power Of One 单体的力量,5.12a,81753591,http://www.thecrag.com/route/81753591,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-28T00:00:00Z,2019-09-28T08:41:04Z,,,,
Jeja,2770535313,http://www.thecrag.com/ascent/2770535313,Hang dog,5.11a,2,*,14m,Jeja,5.11a,13980265,http://www.thecrag.com/route/13980265,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-27T00:00:00Z,2019-09-27T11:05:47Z,,,,
Jeja,2770535328,http://www.thecrag.com/ascent/2770535328,Pink point,5.11a,2,*,14m,Jeja,5.11a,13980265,http://www.thecrag.com/route/13980265,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-27T00:00:00Z,2019-09-27T11:05:47Z,,,,
Pickpocket,2770535343,http://www.thecrag.com/ascent/2770535343,Hang dog,5.11c,2,**,20m,Pickpocket,5.11c,26249595,http://www.thecrag.com/route/26249595,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-27T00:00:00Z,2019-09-27T11:05:47Z,,,,
Pickpocket,2770535358,http://www.thecrag.com/ascent/2770535358,Pink point,5.11c,2,**,20m,Pickpocket,5.11c,26249595,http://www.thecrag.com/route/26249595,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-27T00:00:00Z,2019-09-27T11:05:47Z,,,,
Waiting for Sophy 等待苏菲,2770535373,http://www.thecrag.com/ascent/2770535373,Hang dog,5.11d,1,**,17m,Waiting for Sophy 等待苏菲,5.11d,27133398,http://www.thecrag.com/route/27133398,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - Lei Pi Shan,,,,2019-09-27T00:00:00Z,2019-09-27T11:05:47Z,,,,
The Jungle Book,2767293456,http://www.thecrag.com/ascent/2767293456,Pink point,5.11c,2,,17m,The Jungle Book,5.11c,1901827461,http://www.thecrag.com/route/1901827461,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - The Northeast Face,,,Good,2019-09-25T00:00:00Z,2019-09-25T10:30:49Z,,,,
All the King's Horses,2767293423,http://www.thecrag.com/ascent/2767293423,Onsight,5.10a,1,*,27m,All the King's Horses,5.10a,15731995,http://www.thecrag.com/route/15731995,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - The Northeast Face,,,,2019-09-25T00:00:00Z,2019-09-25T10:30:49Z,,,,
The Jungle Book,2767293438,http://www.thecrag.com/ascent/2767293438,Hang dog,5.11c,2,,17m,The Jungle Book,5.11c,1901827461,http://www.thecrag.com/route/1901827461,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - The Northeast Face,,,Good,2019-09-25T00:00:00Z,2019-09-25T10:30:49Z,,,,
Bad Egg,2767284375,http://www.thecrag.com/ascent/2767284375,Red point,5.11c,3,**,25m,Bad Egg,5.11c,15732565,http://www.thecrag.com/route/15732565,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - Fantasy Area,,,,2019-09-25T00:00:00Z,2019-09-25T10:28:27Z,,,,
Wonderful World,2767284390,http://www.thecrag.com/ascent/2767284390,Onsight,5.10d,1,***,30m,Wonderful World,5.10d,15732727,http://www.thecrag.com/route/15732727,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - Fantasy Area,,,,2019-09-25T00:00:00Z,2019-09-25T10:28:27Z,,,,
Too Much Ecstasy,2765576943,http://www.thecrag.com/ascent/2765576943,Onsight,5.10d,1,*,22m,Too Much Ecstasy,5.10d,10143918,http://www.thecrag.com/route/10143918,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - The Northeast Face,,,,2019-09-24T00:00:00Z,2019-09-24T11:51:37Z,,,,
Duck,2765574624,http://www.thecrag.com/ascent/2765574624,Hang dog,5.11b,2,***,24m,Duck,5.11b,15732619,http://www.thecrag.com/route/15732619,China Mainland,http://www.thecrag.com/area/11746747,Yangshuo,http://www.thecrag.com/area/11877169,Yangshuo - The Egg - Fantasy Area,,,,2019-09-24T00:00:00Z,2019-09-24T11:51:17Z,,,,
